şarkı,lemmatized_str
Kara Sevda,gece gitmek Özlem gözlemek gözlemek yollamak hayat yalnız aşk beklemek gelmek gelmek beklemek beklemek gelmek aşk gece yollamak Rüya hayat gitmek gelmek yollamak Özlem gözlemek hayat gece kalp beklemek gece yollamak hayat gözlemek Rüya gözlemek kalp kalp gözlemek Özlem gece yollamak aşk gelmek aşk Özlem beklemek yollamak kalp hayat Özlem kalp gözlemek kalp gece yalnız gitmek kalp gelmek hayat gece gelmek beklemek gitmek gece kalp beklemek beklemek yalnız gitmek yollamak gelmek hayat aşk yalnız hayat gitmek gitmek Rüya yalnız Rüya Özlem Özlem gözlemek kalp yollamak yollamak gelmek Rüya kalp kalp hayat hayat beklemek aşk gelmek aşk gece kalp aşk yollamak gitmek aşk gözlemek gelmek yalnız gitmek hayat yollamak hayat gitmek Özlem gelmek aşk gitmek yalnız yalnız yalnız gelmek hayat gece gözlemek aşk kalp aşk beklemek yollamak yollamak gelmek gece kalp gece Özlem aşk kalp gelmek yollamak hayat gözlemek Özlem Rüya gitmek aşk aşk hayat yalnız gitmek yalnız gece gece hayat beklemek yollamak Özlem gelmek gece aşk aşk yalnız gelmek yalnız Rüya gece gece beklemek gözlemek yollamak hayat Rüya yalnız gece kalp gelmek gelmek kalp hayat gözlemek gözlemek beklemek gelmek aşk Rüya kalp kalp gece yalnız yalnız Rüya kalp gece kalp hayat kalp gitmek gelmek Özlem aşk hayat gözlemek beklemek gelmek kalp yalnız gece gözlemek gece gelmek gitmek gece hayat hayat beklemek aşk Rüya kalp Özlem beklemek Rüya aşk yalnız hayat gelmek yalnız kalp gece yalnız hayat kalp gece gelmek beklemek yollamak Rüya kalp beklemek gelmek beklemek beklemek hayat gitmek beklemek gözlemek gözlemek beklemek gelmek Özlem yalnız gitmek gelmek gece Özlem Özlem gelmek gece gözlemek yollamak gece Özlem hayat Rüya Rüya gece gözlemek gitmek beklemek yollamak gelmek Özlem kalp beklemek gitmek Rüya gözlemek beklemek Rüya Rüya gece gitmek Rüya gelmek gelmek gelmek hayat beklemek kalp Özlem gelmek hayat Özlem gözlemek yalnız beklemek yollamak hayat kalp yalnız gözlemek aşk gitmek gece gitmek yalnız gözlemek gelmek gitmek gözlemek gözlemek beklemek kalp yollamak hayat aşk beklemek yollamak Rüya beklemek yollamak yalnız aşk gözlemek gece yalnız Özlem kalp Özlem kalp beklemek kalp yollamak yollamak aşk Özlem kalp Rüya hayat Özlem hayat yalnız gitmek Rüya Rüya beklemek gözlemek gece Rüya hayat yalnız Rüya gözlemek gitmek Özlem gece yalnız gece gitmek gitmek yollamak gitmek gelmek aşk yalnız gece hayat gece Özlem beklemek kalp kalp gitmek aşk Özlem yalnız kalp gözlemek gelmek Özlem yalnız hayat gözlemek gitmek Rüya kalp aşk hayat Özlem Rüya gözlemek gitmek gelmek hayat aşk hayat gitmek kalp yalnız
Sorma,Özlem gece Özlem kalp yalnız gözlemek Özlem Özlem Rüya gözlemek yalnız aşk gece gece beklemek yollamak yollamak aşk aşk kalp gelmek gece aşk gelmek Özlem gözlemek gözlemek gece kalp Rüya yalnız gece Özlem yollamak Rüya gitmek kalp gitmek kalp kalp yalnız gelmek gelmek hayat aşk gelmek beklemek gözlemek yollamak hayat kalp kalp Özlem beklemek gözlemek hayat gece yollamak hayat Özlem gelmek gözlemek kalp aşk yalnız gece Rüya Rüya yalnız yalnız gitmek gece gelmek gece hayat gözlemek Rüya hayat gitmek kalp yalnız kalp yalnız yalnız beklemek gözlemek aşk beklemek yalnız yalnız beklemek hayat beklemek Rüya aşk gitmek gözlemek kalp yollamak gözlemek beklemek gitmek gözlemek yollamak gitmek gözlemek yollamak gece gece gözlemek gece gitmek yalnız gözlemek hayat yollamak yalnız gitmek aşk yalnız beklemek beklemek kalp beklemek gitmek gelmek gelmek Özlem kalp gözlemek gözlemek hayat hayat Rüya aşk gitmek Rüya hayat aşk gitmek Rüya gitmek gece kalp Rüya gelmek gitmek beklemek Özlem kalp yollamak kalp beklemek gelmek beklemek gelmek gece yollamak aşk Rüya Rüya hayat aşk yollamak gece gözlemek Rüya yollamak beklemek gece yalnız kalp Rüya gitmek Özlem kalp Özlem aşk kalp beklemek gelmek kalp beklemek beklemek hayat gözlemek kalp beklemek beklemek gitmek gelmek Özlem Özlem gitmek gözlemek gelmek gelmek beklemek aşk yalnız Özlem gözlemek kalp yalnız yollamak beklemek hayat gelmek aşk yalnız yalnız Rüya yalnız Rüya gelmek gece kalp aşk gece gece beklemek gelmek kalp Rüya yollamak yalnız Rüya gözlemek gece aşk yollamak gelmek gözlemek Rüya aşk gelmek gelmek gece yalnız gelmek aşk Rüya gece gece yalnız yalnız gitmek Rüya Özlem gitmek kalp hayat Rüya gitmek gece gitmek yalnız kalp gitmek aşk gelmek hayat yalnız kalp gitmek Özlem gelmek yalnız gelmek aşk kalp yalnız beklemek Rüya Özlem kalp gitmek aşk gelmek Özlem hayat gece yalnız Rüya beklemek yalnız yalnız gece gece gözlemek aşk kalp aşk gece gözlemek gözlemek yollamak yalnız aşk beklemek yalnız Rüya gitmek yollamak gelmek gözlemek kalp yollamak gece Özlem beklemek gelmek beklemek Özlem gece Rüya yalnız gelmek aşk gitmek gitmek kalp yollamak Özlem aşk gece yalnız Rüya yollamak aşk hayat yalnız beklemek Özlem gelmek Rüya gözlemek hayat Özlem Rüya Rüya beklemek gitmek yollamak gece gelmek beklemek yollamak Özlem yalnız Özlem gece gitmek Özlem yalnız yollamak yollamak gelmek Rüya gece Özlem aşk aşk gece gelmek gözlemek yollamak aşk yalnız yalnız kalp Rüya beklemek gece yalnız gözlemek Rüya Rüya beklemek gelmek kalp hayat gitmek gözlemek Özlem yollamak Rüya Özlem gitmek beklemek aşk yalnız yollamak Rüya gelmek Rüya gitmek gece beklemek yalnız Rüya gelmek kalp gözlemek Rüya hayat yalnız gözlemek Rüya gözlemek beklemek aşk gitmek Rüya Rüya kalp hayat gelmek gitmek
Haydi Gel İçelim,beklemek Özlem Özlem kalp gözlemek gelmek yalnız Rüya gece yalnız yalnız yalnız gece Rüya gözlemek gece Özlem gelmek Rüya yollamak hayat Özlem aşk Rüya yalnız yalnız Özlem aşk Rüya hayat Rüya yollamak gelmek Özlem aşk gitmek gözlemek gitmek Rüya yollamak gelmek gelmek gitmek gözlemek gelmek yalnız aşk yalnız gitmek gözlemek Özlem beklemek gece Özlem gözlemek beklemek gitmek gelmek beklemek kalp yalnız gitmek aşk gözlemek yollamak yollamak gözlemek gece yollamak yollamak yollamak yalnız gece gece yollamak gözlemek yollamak yalnız hayat gözlemek aşk gece gelmek hayat gözlemek gitmek hayat aşk yollamak gözlemek Rüya Özlem gitmek gitmek gelmek gelmek gece gitmek gitmek hayat gitmek aşk Özlem gece gitmek gitmek gitmek beklemek Rüya hayat yalnız gözlemek yollamak beklemek yollamak gelmek gelmek hayat gelmek hayat yalnız gelmek hayat aşk yalnız Rüya kalp gitmek beklemek kalp beklemek beklemek gece hayat beklemek hayat Rüya gitmek gözlemek yollamak gelmek Özlem Özlem yalnız aşk gözlemek yollamak hayat aşk beklemek Rüya gitmek yollamak gözlemek hayat gitmek aşk beklemek gelmek gitmek gitmek gözlemek gece kalp Rüya kalp Özlem aşk gözlemek Özlem yollamak gece yollamak gözlemek aşk Özlem gözlemek Rüya beklemek hayat aşk aşk gitmek hayat gece kalp gözlemek gitmek aşk hayat hayat gitmek beklemek hayat yalnız Özlem gözlemek gece gece Özlem gelmek hayat aşk hayat beklemek yollamak gitmek gelmek gece Rüya Özlem Rüya kalp Rüya gelmek hayat yalnız gece yalnız yalnız gece Rüya gözlemek gelmek kalp yollamak beklemek aşk aşk Rüya gözlemek gözlemek gözlemek Rüya yalnız hayat kalp Rüya gitmek Özlem gece aşk yollamak gelmek beklemek Rüya yollamak gözlemek gece Rüya gelmek Özlem gözlemek gitmek hayat hayat gelmek gelmek gitmek kalp gelmek gitmek gece Rüya Özlem gelmek kalp beklemek gözlemek beklemek Rüya beklemek beklemek yollamak gelmek beklemek yollamak Rüya Özlem gelmek kalp gitmek gece Rüya gözlemek beklemek Özlem gitmek Özlem hayat gelmek hayat Özlem yollamak gözlemek beklemek yalnız Özlem yollamak beklemek Özlem gitmek Rüya Özlem Özlem yollamak gelmek gitmek kalp Özlem gece beklemek gelmek gitmek Özlem yollamak gitmek kalp beklemek aşk gece aşk beklemek yalnız gözlemek hayat aşk hayat aşk Rüya Özlem Rüya aşk gelmek Özlem yalnız yollamak aşk gitmek gitmek gelmek Rüya gitmek beklemek Rüya hayat beklemek hayat aşk kalp kalp Rüya yalnız gelmek hayat gelmek gece kalp yalnız hayat hayat aşk kalp aşk aşk yollamak gelmek yollamak beklemek gece gitmek yollamak Rüya beklemek Özlem
Gel Yanıma,yalnız yalnız Özlem Rüya gelmek kalp gelmek gelmek aşk Rüya aşk kalp kalp yalnız gece yollamak gözlemek kalp yollamak gitmek Özlem beklemek gözlemek aşk hayat gelmek gelmek Rüya gözlemek gece gözlemek yollamak beklemek yollamak gece gelmek gelmek Özlem aşk yollamak gece Rüya gelmek Özlem yollamak gece yalnız gitmek gece gözlemek yollamak kalp gece yalnız Rüya gelmek Özlem gözlemek gece gece gece gece Rüya beklemek beklemek yalnız Rüya gözlemek gözlemek gelmek beklemek aşk gelmek gelmek gelmek aşk hayat aşk kalp Rüya yollamak gece Rüya Özlem aşk gözlemek gece beklemek aşk yalnız gitmek yalnız gelmek Rüya Özlem aşk Rüya yalnız gece kalp gitmek kalp gece beklemek yalnız Rüya gelmek hayat gözlemek yollamak Özlem Rüya gelmek gelmek yollamak beklemek gelmek gözlemek Özlem beklemek hayat beklemek gitmek aşk gözlemek Rüya Özlem beklemek yollamak Rüya gözlemek gece gece gitmek yollamak gelmek aşk Rüya Özlem gitmek gelmek kalp gitmek gece gelmek yalnız yollamak Rüya aşk yollamak gitmek hayat yollamak gelmek gitmek kalp gözlemek gözlemek hayat beklemek gözlemek hayat aşk yollamak Özlem gözlemek Rüya aşk kalp Rüya yollamak kalp beklemek gitmek hayat yollamak Özlem kalp beklemek beklemek gece gece Özlem aşk yollamak Rüya kalp yollamak yalnız hayat yalnız gece gitmek gitmek gitmek hayat hayat Rüya gece yollamak gece gelmek yalnız yalnız Rüya gelmek hayat hayat Özlem gece yalnız yalnız gelmek gözlemek gözlemek gitmek aşk hayat
Rüya,gözlemek gözlemek hayat beklemek gelmek gözlemek hayat gitmek Özlem gece Özlem gözlemek hayat gelmek yollamak Özlem Özlem kalp yalnız kalp Özlem gece gözlemek aşk yalnız gece Özlem gözlemek gece yalnız yalnız yollamak beklemek Özlem gece hayat gece Özlem gece gözlemek gitmek Rüya hayat kalp beklemek beklemek Rüya beklemek gözlemek gelmek yalnız yollamak kalp hayat aşk beklemek beklemek aşk Rüya gelmek yalnız Rüya Özlem beklemek kalp gece gitmek Rüya Özlem Rüya gözlemek beklemek aşk beklemek kalp gelmek Özlem hayat hayat aşk yalnız gelmek yalnız kalp yollamak yollamak Rüya Özlem Özlem Özlem gözlemek gece Rüya aşk yollamak Rüya yollamak gece hayat kalp gitmek gece kalp hayat gitmek kalp yalnız aşk yalnız gece gelmek aşk gözlemek gece Rüya Rüya hayat gelmek Rüya kalp gelmek gece yollamak gece Özlem Özlem Rüya kalp Rüya kalp Rüya gitmek yalnız Özlem gece kalp hayat kalp aşk gözlemek gözlemek gözlemek aşk gece yalnız Özlem kalp aşk aşk yollamak kalp yalnız hayat aşk hayat Rüya Özlem kalp gece yalnız gece yalnız hayat kalp kalp yalnız gece Rüya Rüya yollamak gitmek kalp gözlemek beklemek yalnız hayat aşk Özlem Özlem gözlemek Rüya aşk Özlem beklemek gece yollamak gözlemek kalp yalnız gece gelmek kalp kalp hayat yalnız gece gitmek kalp yalnız Özlem kalp hayat Özlem kalp gece yalnız Rüya Rüya kalp gitmek yollamak yollamak gitmek Özlem beklemek Rüya hayat yalnız gece beklemek aşk yalnız gözlemek gelmek gece Rüya aşk Özlem hayat hayat yollamak gözlemek gitmek kalp gözlemek yollamak aşk kalp hayat gözlemek yollamak gözlemek Rüya gözlemek gece gitmek Özlem gitmek yalnız kalp Özlem Rüya gitmek gelmek gece beklemek Rüya beklemek yollamak Rüya gitmek Rüya hayat gece Özlem kalp hayat gözlemek yalnız Rüya hayat kalp Rüya gelmek hayat aşk gözlemek hayat aşk gitmek aşk hayat Rüya yollamak gitmek hayat gelmek gece yalnız beklemek
Rüya,gece kalp aşk gözlemek gelmek gözlemek gece gece beklemek Özlem Rüya yalnız aşk yollamak beklemek gelmek Rüya yalnız yollamak Rüya gitmek gelmek yalnız gözlemek Özlem hayat Özlem gelmek Özlem yollamak kalp yollamak gece yalnız aşk gitmek hayat yalnız Özlem gelmek aşk yollamak kalp beklemek gelmek aşk kalp beklemek yollamak kalp beklemek Rüya gelmek Özlem Özlem beklemek aşk gece kalp gece yalnız hayat yollamak gelmek yollamak yollamak hayat hayat gözlemek beklemek yollamak aşk Rüya Özlem yalnız yollamak yollamak Rüya Özlem aşk yollamak gözlemek gelmek gece gece Özlem gelmek gitmek gitmek gitmek beklemek gitmek gece kalp kalp yalnız gitmek kalp hayat gece gece hayat gece aşk hayat gece gözlemek hayat Özlem gece gözlemek gözlemek gitmek beklemek hayat yalnız gelmek Rüya gitmek gece kalp kalp gitmek aşk Rüya aşk kalp yollamak yalnız gitmek kalp beklemek aşk gitmek yollamak Özlem yalnız yalnız aşk yollamak yollamak aşk Özlem aşk Özlem gelmek kalp Özlem gitmek Rüya gözlemek Özlem gözlemek gözlemek Özlem beklemek beklemek yalnız gece gözlemek hayat hayat beklemek hayat aşk gözlemek beklemek Rüya kalp Rüya hayat Özlem yalnız yalnız gelmek aşk gece aşk kalp aşk gelmek hayat gece aşk gelmek gece gözlemek gelmek Özlem gelmek yalnız yalnız yollamak Rüya gitmek aşk hayat gece gelmek gitmek kalp hayat Rüya yalnız gelmek gelmek gelmek Rüya gitmek Rüya hayat Özlem gitmek yalnız kalp Rüya gözlemek beklemek yollamak yollamak gece gitmek Rüya yollamak gözlemek gitmek yalnız Rüya aşk Rüya gece Rüya gitmek Özlem yalnız Özlem gece hayat gözlemek gitmek yalnız gece yalnız gözlemek hayat gitmek yalnız gelmek yollamak hayat gelmek gözlemek Özlem gelmek gelmek beklemek gözlemek hayat kalp kalp beklemek
Ben Bir Şarkıyım,beklemek gitmek yalnız Özlem kalp hayat gitmek Rüya aşk beklemek hayat aşk gelmek yollamak gitmek kalp gitmek yalnız yollamak gözlemek yalnız Rüya Özlem gece yollamak aşk yalnız gözlemek beklemek gece aşk yollamak aşk gece yollamak gece yalnız hayat hayat aşk gelmek gözlemek kalp gözlemek gitmek gözlemek hayat gelmek kalp gitmek hayat aşk gözlemek yalnız yalnız gözlemek kalp gözlemek Özlem hayat aşk Özlem yalnız Özlem gözlemek kalp Rüya beklemek kalp beklemek gece hayat aşk yalnız beklemek hayat Rüya gözlemek gözlemek hayat hayat gitmek hayat hayat Özlem yalnız Özlem kalp aşk gelmek Özlem Özlem beklemek hayat kalp aşk gözlemek yalnız Özlem gece hayat kalp gözlemek aşk Özlem yollamak gece yollamak yollamak hayat Özlem beklemek yalnız gitmek Özlem hayat gitmek Özlem Özlem gelmek Özlem gözlemek beklemek yollamak kalp yollamak Özlem gece aşk beklemek gözlemek gece yalnız kalp Özlem beklemek gece yollamak hayat hayat aşk gözlemek gitmek gitmek aşk gözlemek kalp gözlemek yollamak kalp gelmek gelmek hayat yollamak kalp yalnız Özlem hayat kalp aşk yollamak Özlem gelmek gelmek gelmek kalp hayat beklemek aşk kalp Rüya beklemek aşk gelmek beklemek yollamak gece beklemek aşk aşk kalp yollamak gelmek hayat beklemek aşk gitmek beklemek gitmek Rüya gelmek yalnız gece Rüya hayat gelmek gözlemek gözlemek beklemek gözlemek kalp hayat kalp Rüya yalnız gelmek beklemek beklemek hayat hayat Rüya Rüya gözlemek yalnız yollamak gitmek beklemek yalnız yalnız yollamak Rüya beklemek gitmek gelmek hayat yalnız yalnız yalnız yalnız gözlemek gitmek gelmek gelmek hayat gece yollamak gece gece gitmek beklemek aşk gelmek hayat hayat gözlemek gözlemek beklemek gece kalp Rüya Özlem yollamak yalnız Rüya gözlemek beklemek hayat yalnız gözlemek Rüya gece Özlem gitmek aşk
Rüya,gece hayat gitmek beklemek gitmek hayat Rüya gelmek gitmek hayat gözlemek yollamak gitmek aşk Özlem Özlem Rüya beklemek gitmek Özlem kalp kalp gelmek yalnız gitmek yollamak gitmek aşk aşk gitmek kalp hayat gelmek beklemek gece gece gelmek beklemek yalnız gelmek beklemek yalnız beklemek beklemek yalnız beklemek gece beklemek gözlemek beklemek gözlemek beklemek gitmek gözlemek aşk hayat gitmek beklemek gece hayat hayat gitmek kalp hayat yalnız yalnız yalnız aşk aşk hayat yollamak gece gözlemek hayat beklemek gelmek gece gitmek Rüya yollamak yalnız kalp Rüya gitmek kalp gece beklemek aşk Rüya beklemek kalp yollamak yollamak Rüya gözlemek gözlemek gözlemek kalp gece yalnız gözlemek gözlemek gözlemek aşk Özlem gece yollamak gece gelmek gece hayat Rüya beklemek gece Özlem gitmek gözlemek gelmek Rüya gitmek gözlemek Özlem gece gelmek aşk Özlem gözlemek gözlemek Rüya Özlem gece beklemek gece aşk Özlem gece kalp gelmek gelmek hayat kalp aşk Özlem Rüya gözlemek beklemek beklemek kalp gitmek yollamak aşk Rüya beklemek yalnız Rüya gelmek hayat yollamak aşk hayat aşk beklemek aşk Özlem gelmek kalp gece Rüya beklemek hayat beklemek gitmek aşk yollamak aşk yalnız Rüya kalp aşk yollamak kalp beklemek Rüya gözlemek gelmek Özlem Rüya hayat gözlemek kalp beklemek beklemek yalnız yollamak yalnız Özlem kalp kalp gitmek gelmek gözlemek hayat beklemek Rüya hayat hayat aşk Özlem aşk gitmek Özlem yalnız hayat Rüya kalp Özlem yollamak gitmek gözlemek yollamak aşk aşk yollamak beklemek Rüya Rüya aşk kalp aşk Özlem yalnız kalp Özlem aşk beklemek gitmek aşk Rüya Rüya kalp gitmek aşk kalp hayat kalp gece gece yalnız Rüya gece Özlem Rüya hayat yollamak yalnız gözlemek yalnız gözlemek hayat hayat gece gece gözlemek gelmek gözlemek yollamak gece yollamak gece yollamak kalp gözlemek Özlem Rüya gitmek yalnız Özlem Rüya hayat aşk gözlemek gözlemek yalnız hayat yollamak yollamak beklemek gece hayat aşk beklemek hayat beklemek aşk gitmek Özlem gelmek beklemek Rüya Özlem gözlemek gelmek gelmek gitmek gelmek gözlemek aşk gitmek aşk beklemek gelmek Özlem hayat gözlemek beklemek kalp hayat gelmek hayat gitmek gitmek gece kalp yalnız hayat hayat yalnız Rüya kalp gözlemek gece hayat gelmek kalp hayat yalnız aşk Özlem gelmek Özlem Özlem yalnız kalp kalp Rüya yalnız yollamak Rüya Özlem gelmek gelmek beklemek gitmek beklemek yollamak beklemek aşk hayat gitmek aşk yalnız yalnız yollamak Rüya
Kara Sevda,yalnız hayat gözlemek gözlemek gelmek gelmek beklemek yollamak Özlem yollamak beklemek gelmek yalnız hayat Özlem aşk yalnız gelmek yalnız yalnız Özlem yollamak gitmek aşk aşk gece Rüya yalnız aşk Rüya gitmek gitmek aşk hayat aşk Özlem Rüya gece Rüya gece kalp yollamak Özlem yollamak beklemek gece gece beklemek gitmek beklemek aşk Rüya gitmek hayat gelmek gözlemek gece gelmek gelmek Özlem kalp gözlemek gözlemek gitmek gece Rüya gitmek gelmek yollamak gece kalp kalp gece gelmek yollamak yollamak gözlemek Rüya gelmek gözlemek beklemek Rüya gitmek gece kalp yollamak beklemek gözlemek hayat yollamak gelmek gelmek beklemek yalnız yollamak gece Özlem Rüya gözlemek hayat Rüya hayat gözlemek gelmek aşk yalnız yalnız gitmek Rüya aşk gece hayat gelmek Özlem gitmek yollamak yollamak Rüya hayat aşk aşk yalnız gelmek aşk Rüya gözlemek gözlemek kalp gitmek gelmek gece gözlemek hayat beklemek kalp gece gözlemek gece yalnız Özlem beklemek Rüya Özlem Özlem Rüya kalp aşk Özlem gelmek Özlem gece kalp hayat gitmek yollamak Rüya hayat beklemek gelmek Rüya kalp kalp yalnız gitmek gelmek Özlem gelmek aşk kalp gitmek gece Özlem hayat kalp hayat beklemek yollamak gelmek kalp gelmek aşk gelmek gitmek yalnız Özlem yalnız gelmek gözlemek hayat yollamak beklemek Rüya Rüya gece gitmek gece kalp Rüya gelmek beklemek gece Özlem gece kalp Rüya gece Özlem gözlemek gece yollamak gözlemek Rüya kalp hayat Rüya Özlem yollamak Özlem kalp aşk Rüya gözlemek gitmek gece aşk beklemek gitmek kalp kalp hayat hayat yalnız gitmek yalnız Rüya kalp gelmek gece kalp aşk yalnız hayat yollamak gelmek yollamak gitmek gitmek gece Rüya yalnız Özlem yalnız hayat gelmek gelmek Rüya hayat Özlem gözlemek yollamak Özlem gitmek gitmek aşk gitmek aşk gelmek gece gece gelmek beklemek yalnız yalnız beklemek hayat gözlemek gece yollamak aşk kalp beklemek aşk hayat aşk Özlem kalp beklemek gitmek gelmek beklemek yalnız Rüya aşk yollamak Özlem aşk kalp hayat beklemek kalp beklemek gitmek gözlemek Özlem Rüya yollamak aşk aşk aşk beklemek Rüya gitmek gitmek aşk gözlemek yalnız yalnız gitmek gelmek Rüya beklemek gece aşk beklemek Rüya beklemek yalnız gece aşk gece gitmek aşk gitmek gelmek kalp gitmek hayat Rüya gitmek yalnız gözlemek hayat Rüya hayat hayat gitmek gözlemek yalnız aşk hayat beklemek gitmek hayat aşk aşk yollamak gece gitmek yollamak Rüya gitmek gece beklemek aşk Rüya gece gece hayat gözlemek yollamak kalp Özlem gelmek beklemek beklemek Rüya gitmek gözlemek yalnız beklemek yollamak
Rüya,beklemek beklemek Özlem gitmek beklemek yollamak gece hayat yollamak hayat yalnız kalp gözlemek hayat kalp kalp hayat Özlem gece yalnız gece hayat Özlem kalp yollamak Rüya Rüya gitmek yollamak yollamak gelmek gitmek yalnız gitmek beklemek hayat Özlem gelmek yalnız yalnız beklemek gece yalnız Özlem gözlemek Rüya gelmek Özlem gelmek beklemek beklemek gitmek yollamak gitmek yalnız yollamak gözlemek yollamak aşk gelmek beklemek Özlem gitmek Rüya yollamak yalnız gitmek kalp hayat Rüya kalp beklemek gece aşk Rüya gelmek gitmek gitmek kalp Özlem Özlem gözlemek gece hayat Rüya gece beklemek beklemek hayat yollamak Özlem hayat hayat kalp gitmek beklemek Rüya beklemek gece Rüya gece hayat aşk yollamak gitmek gece beklemek Özlem gitmek Özlem gece kalp hayat gece beklemek hayat gelmek yollamak beklemek gitmek hayat hayat gözlemek gitmek Özlem gece kalp yalnız kalp beklemek beklemek hayat beklemek aşk gitmek gözlemek Rüya yalnız yollamak hayat gözlemek gelmek aşk gözlemek aşk hayat gitmek gece Özlem aşk gözlemek hayat Rüya kalp aşk gece Rüya gelmek yollamak gece gece gözlemek gece yalnız Rüya gözlemek Rüya gelmek gözlemek yalnız gece Rüya gözlemek Özlem gitmek gece gece gözlemek Rüya beklemek gözlemek Rüya hayat hayat hayat yollamak gözlemek gelmek aşk Özlem yollamak beklemek gece gece beklemek gözlemek Özlem gitmek kalp Özlem hayat beklemek gelmek Rüya gece aşk Özlem yalnız kalp beklemek beklemek kalp beklemek gelmek aşk Özlem aşk gece beklemek gece yalnız beklemek gitmek yollamak gece Özlem beklemek yollamak beklemek gözlemek hayat gözlemek aşk yalnız beklemek beklemek gitmek yalnız aşk yollamak gitmek hayat yalnız Özlem gelmek gözlemek Özlem gece yalnız gelmek kalp gelmek yalnız gitmek beklemek Rüya kalp gelmek gelmek gelmek gece gözlemek gece kalp gelmek gelmek gitmek gelmek gözlemek aşk Rüya gözlemek gece
İstanbul Hatırası,gece gözlemek yalnız yalnız Özlem gözlemek yollamak gece beklemek hayat yollamak yollamak aşk gitmek gitmek hayat gelmek gece gelmek Özlem beklemek Rüya Özlem yalnız yollamak gitmek aşk Rüya beklemek kalp yalnız Özlem gözlemek Özlem gözlemek kalp gelmek Özlem Rüya aşk yalnız gitmek gözlemek yalnız yollamak beklemek Özlem yalnız Rüya gitmek gelmek yollamak Özlem gece gözlemek gitmek hayat gelmek gitmek gözlemek gözlemek Özlem beklemek gitmek gece yalnız Özlem gelmek gözlemek beklemek kalp gitmek Özlem aşk Özlem gitmek yollamak beklemek gitmek gelmek gitmek gelmek beklemek Rüya yalnız beklemek gece beklemek hayat hayat gelmek yalnız kalp gece aşk gelmek beklemek yollamak yalnız gece Rüya hayat Özlem hayat aşk yollamak gözlemek yalnız beklemek aşk gece Özlem hayat gelmek beklemek gece Özlem gitmek aşk aşk gece gece beklemek yollamak hayat gece Özlem kalp Özlem kalp gözlemek gelmek gelmek aşk beklemek aşk gece gözlemek aşk beklemek yalnız hayat gelmek hayat Rüya Rüya aşk kalp yalnız gelmek aşk yalnız beklemek gelmek yollamak gözlemek aşk Özlem kalp gitmek gece hayat hayat Özlem gelmek yollamak hayat yollamak kalp Özlem beklemek Rüya aşk aşk aşk gitmek gitmek gitmek beklemek yollamak aşk yollamak kalp gitmek aşk Özlem beklemek hayat Özlem aşk gözlemek aşk aşk gelmek gelmek gece gelmek gelmek Rüya yollamak aşk kalp yalnız yalnız kalp gece gitmek gitmek yollamak gelmek gözlemek yollamak gitmek aşk gece gözlemek beklemek gelmek kalp gece gitmek kalp gitmek kalp kalp gitmek aşk yalnız beklemek yalnız yollamak yollamak yalnız gelmek aşk gece beklemek yollamak beklemek hayat aşk gelmek gece kalp gece Rüya yollamak gece beklemek kalp kalp gözlemek yalnız gözlemek gitmek Rüya kalp gece aşk hayat gece hayat gelmek gözlemek yalnız gitmek beklemek Rüya beklemek yollamak gece Rüya gelmek beklemek aşk gece Rüya gece beklemek kalp gözlemek yalnız Özlem kalp gece yollamak yalnız yalnız beklemek hayat Rüya Rüya gitmek yollamak gelmek aşk gitmek gece hayat gözlemek Rüya
